2025-09-23 at 22:24:21 | INFO | Бот запущен...
2025-09-23 at 22:26:28 | INFO | Бот остановлен...
2025-09-23 at 22:26:59 | INFO | Бот запущен...
2025-09-23 at 22:29:02 | INFO | Голосовое сообщение готово: Привет хуйня
2025-09-23 at 22:29:02 | INFO | Успешный ответ пользователю
2025-09-23 at 22:38:42 | INFO | Голосовое сообщение готово: Попа
2025-09-23 at 22:38:42 | INFO | Успешный ответ пользователю
2025-09-23 at 22:39:24 | INFO | Голосовое сообщение готово: я твой рот ебал
2025-09-23 at 22:39:24 | INFO | Успешный ответ пользователю
2025-09-23 at 22:43:04 | INFO | Голосовое сообщение готово: я твой рот ебал еще раз
2025-09-23 at 22:43:04 | INFO | Успешный ответ пользователю
2025-09-23 at 23:07:08 | INFO | Голосовое сообщение готово: я твой рот ебал еще раз
2025-09-23 at 23:07:08 | INFO | Успешный ответ пользователю
2025-09-23 at 23:10:51 | INFO | Бот остановлен...
2025-09-23 at 23:17:48 | INFO | Бот запущен...
2025-09-23 at 23:19:37 | INFO | Голосовое сообщение готово: я твой рот ебал еще раз
2025-09-23 at 23:19:37 | INFO | Успешный ответ пользователю
2025-09-23 at 23:20:21 | INFO | Бот остановлен...
